Num	RSSI	Frequency	Phase
1	-59.5	918.25	3.761320891895592
2	-59.5	918.25	3.736777199289422
3	-59.5	918.25	3.7122335066832517
4	-59.5	918.25	3.7429131224409646
5	-58.5	918.25	3.80427235395639
6	-59.0	918.25	3.761320891895592
7	-59.5	918.25	3.7122335066832517
8	-59.5	907.75	1.3437671701878218
9	-59.0	907.75	1.423534171157875
10	-59.5	907.75	1.337631247036279
11	-59.0	907.75	1.3621749396424494
12	-59.0	907.75	1.3560390164909069
13	-59.0	907.75	1.3437671701878218
14	-59.5	907.75	1.2762720155208536
15	-59.5	907.75	1.4603497100671303
16	-59.0	907.75	1.368310862793992
17	-59.5	907.75	1.3437671701878218
18	-59.0	915.25	4.779884135051658
19	-58.5	915.25	4.7860200582032
20	-59.0	915.25	4.718524903536232
21	-58.5	915.25	4.743068596142402
22	-58.5	915.25	4.822835597112456
23	-59.0	915.25	4.773748211900116
24	-59.0	915.25	4.7307967498393175
25	-59.0	915.25	4.755340442445488
26	-59.0	915.25	4.816699673960914
27	-59.0	915.25	4.743068596142402
28	-59.5	915.25	4.76147636559703
29	-59.0	915.25	4.743068596142402
30	-59.0	912.25	5.859806609723149
31	-59.5	912.25	5.816855147662351
32	-59.0	912.25	5.792311455056181
33	-58.5	912.25	5.853670686571607
34	-59.0	912.25	5.872078456026235
35	-59.0	912.25	5.816855147662351
36	-59.0	912.25	5.884350302329319
37	-59.0	912.25	5.829126993965437
38	-58.5	912.25	5.822991070813893
39	-59.0	912.25	5.878214379177777
40	-59.0	912.25	5.859806609723149
41	-59.0	912.25	5.902758071783947
42	-59.5	917.75	3.9822141253511245
43	-59.0	917.75	3.988350048502667
44	-59.0	917.75	3.9944859716542096
45	-59.0	917.75	4.031301510563465
46	-59.0	917.75	3.8963112012295285
47	-59.5	917.75	4.000621894805752
48	-59.0	917.75	3.8963112012295285
49	-59.0	917.75	4.000621894805752
50	-59.5	917.75	3.9576704327449543
51	-59.5	917.75	3.8840393549264434
52	-59.0	917.75	4.0987966652304335
53	-59.5	906.75	1.736466251886546
54	-59.5	906.75	1.662835174068035
55	-59.5	906.75	1.662835174068035
56	-60.0	906.75	1.705786636128833
57	-60.0	906.75	1.736466251886546
58	-59.5	906.75	1.7732817907958012
59	-60.0	906.75	1.7794177139473437
60	-59.5	906.75	1.705786636128833
61	-59.5	906.75	1.761009944492716
62	-60.0	906.75	1.6751070203711202
63	-60.0	906.75	1.8162332528565992
64	-60.5	904.75	2.448233337465483
65	-60.5	904.75	2.6016314162540475
66	-60.5	904.75	2.454369260617026
67	-61.0	904.75	2.564815877344792
68	-60.5	904.75	2.4911847995262812
69	-60.5	904.75	2.552544031041707
70	-61.0	904.75	2.509592568980909
71	-60.5	904.75	2.5341362615870793
72	-60.5	904.75	2.509592568980909
73	-60.5	904.75	2.4850488763747385
74	-61.0	904.75	2.4911847995262812
75	-60.5	904.75	2.5709518004963345
76	-58.5	908.25	1.1596894756415448
77	-59.0	908.25	1.1780972450961724
78	-59.0	908.25	1.184233168247715
79	-58.5	908.25	1.1167380135807468
80	-59.0	908.25	1.1351457830353744
81	-59.0	908.25	1.184233168247715
82	-59.0	908.25	1.141281706186917
83	-59.5	908.25	1.1596894756415448
84	-59.0	908.25	1.2026409377023426
85	-59.0	908.25	1.1658253987930873
86	-58.5	908.25	1.1903690913992575
87	-59.0	908.25	1.1903690913992575
88	-59.5	906.25	1.8653206380689396
89	-59.5	906.25	1.8775924843720249
90	-59.5	906.25	1.8837284075235674
91	-59.5	906.25	1.8837284075235674
92	-59.5	906.25	1.9266798695843652
93	-59.5	906.25	2.030990563160589
94	-59.5	906.25	1.88986433067511
95	-60.0	906.25	1.9266798695843652
96	-59.5	906.25	1.9389517158874505
97	-60.0	906.25	1.88986433067511
98	-59.5	906.25	2.018718716857504
99	-60.0	906.25	1.8837284075235674
100	-58.5	914.75	4.890330751779424
101	-58.5	914.75	5.031456984264903
102	-59.0	914.75	5.006913291658733
103	-58.5	914.75	4.921010367537137
104	-58.5	914.75	4.921010367537137
105	-58.5	914.75	4.884194828627882
106	-58.5	914.75	4.970097752749477
107	-58.5	914.75	4.945554060143307
108	-59.0	914.75	4.9823695990525625
109	-58.5	914.75	4.95168998329485
110	-59.0	914.75	4.847379289718626
111	-59.0	914.75	4.878058905476339
112	-59.5	919.25	3.393165502803038
113	-59.5	919.25	3.436116964863836
114	-59.5	919.25	3.3318062712876126
115	-59.5	919.25	3.399301425954581
116	-59.5	919.25	3.479068426924634
117	-59.5	919.25	3.3440781175906977
118	-59.5	919.25	3.393165502803038
119	-59.5	919.25	3.380893656499953
120	-59.5	919.25	3.4054373491061236
121	-59.5	919.25	3.3440781175906977
122	-59.5	919.25	3.3747577333484107
123	-60.0	919.25	3.4054373491061236
124	-58.5	908.75	1.043106935762236
125	-59.0	908.75	0.9387962421860124
126	-59.0	908.75	1.0676506283684062
127	-59.0	908.75	0.9878836273983529
128	-59.0	908.75	1.0246991663076084
129	-59.5	908.75	0.8835729338221293
130	-59.0	908.75	1.0185632431560658
131	-59.0	908.75	0.9572040116406401
132	-59.0	908.75	0.944932165337555
133	-59.0	908.75	0.944932165337555
134	-59.0	908.75	0.9817477042468103
135	-59.0	908.75	1.0369710126106935
136	-60.0	905.75	2.1966604882522383
137	-60.0	905.75	2.1230294104337273
138	-60.0	905.75	2.1782527187976104
139	-60.0	905.75	2.2027964114037806
140	-60.0	905.75	2.073942025221387
141	-60.0	905.75	2.1782527187976104
142	-60.0	905.75	2.1230294104337273
143	-60.5	905.75	2.12916533358527
144	-60.5	905.75	2.1475731030398975
145	-60.5	905.75	2.141437179888355
146	-60.5	905.75	2.12916533358527
147	-60.0	905.75	2.141437179888355
148	-59.0	912.75	5.577554144752192
149	-59.0	912.75	5.595961914206819
150	-59.0	912.75	5.6941366846315
151	-59.0	912.75	5.651185222570702
152	-58.5	912.75	5.5714182216006485
153	-58.5	912.75	5.632777453116074
154	-59.0	912.75	5.620505606812989
155	-59.0	912.75	5.6573211457222445
156	-59.0	912.75	5.589825991055276
157	-59.5	912.75	5.546874528994478
158	-58.5	912.75	5.577554144752192
159	-59.0	912.75	5.546874528994478
160	-58.5	916.75	4.227651051412827
161	-59.0	916.75	4.086524818927348
162	-59.0	916.75	4.154019973594316
163	-59.0	916.75	4.196971435655114
164	-58.5	916.75	4.23378697456437
165	-58.5	916.75	4.154019973594316
166	-58.5	916.75	4.1417481272912315
167	-58.5	916.75	4.1417481272912315
168	-59.0	916.75	4.154019973594316
169	-58.5	916.75	4.264466590322082
170	-59.0	916.75	4.227651051412827
171	-58.5	916.75	4.215379205109742
172	-61.5	924.75	1.5585244804918115
173	-61.5	924.75	1.6996507129772904
174	-61.5	924.75	1.564660403643354
175	-61.5	924.75	1.552388557340269
176	-62.0	924.75	1.533980787885641
177	-61.5	924.75	1.576932249946439
178	-62.5	924.75	1.6505633277649499
179	-62.0	924.75	1.6689710972195777
180	-61.5	924.75	1.5585244804918115
181	-61.5	924.75	1.6873788666742053
182	-60.5	923.75	2.024854640009046
183	-61.0	923.75	2.000310947402876
